CompensationRequestFieldId,CompensationRequestId,FieldName,FieldValue,CompensationRequestFieldStateId,CreatedAt
430,86,CorrelationId,507311-86,3,2024-05-08
431,87,Feature,EmailService.SendAsync,3,2025-04-19
432,87,SucursalId,211,3,2025-04-19
433,87,UserId,136,3,2025-04-19
434,87,ExceptionType,InvalidOperationException,3,2025-04-19
435,87,CorrelationId,847204-87,3,2025-04-19
436,88,Feature,CreateLocalidadCommandHandler,3,2024-07-14
437,88,SucursalId,783,3,2024-07-14
438,88,UserId,141,3,2024-07-14
439,88,ExceptionType,DbUpdateException,3,2024-07-14
440,88,CorrelationId,775282-88,3,2024-07-14
441,89,Feature,BulkCreateSucursalesCommandHandler,3,2024-11-10
442,89,SucursalId,794,3,2024-11-10
443,89,UserId,77,3,2024-11-10
444,89,ExceptionType,SmtpException,3,2024-11-10
445,89,CorrelationId,153357-89,3,2024-11-10
446,90,Feature,UpdateSucursalCommandHandler,3,2024-07-23
447,90,SucursalId,443,3,2024-07-23
448,90,UserId,133,3,2024-07-23
449,90,ExceptionType,SmtpException,3,2024-07-23
450,90,CorrelationId,124993-90,3,2024-07-23
451,91,Feature,UpdateSucursalCommandHandler,3,2025-12-11
452,91,SucursalId,788,3,2025-12-11
453,91,UserId,145,3,2025-12-11
454,91,ExceptionType,SmtpException,3,2025-12-11
455,91,CorrelationId,703003-91,3,2025-12-11
456,92,Feature,CreateLocalidadCommandHandler,3,2026-03-11
457,92,SucursalId,757,3,2026-03-11
458,92,UserId,63,3,2026-03-11
459,92,ExceptionType,InvalidOperationException,3,2026-03-11
460,92,CorrelationId,899665-92,3,2026-03-11
461,93,Feature,CreateSucursalCommandHandler,3,2025-05-13
462,93,SucursalId,88,3,2025-05-13
463,93,UserId,17,3,2025-05-13
464,93,ExceptionType,ArgumentException,3,2025-05-13
465,93,CorrelationId,155315-93,3,2025-05-13
466,94,Feature,CreateLocalidadCommandHandler,3,2024-12-05
467,94,SucursalId,219,3,2024-12-05
468,94,UserId,39,3,2024-12-05
469,94,ExceptionType,ArgumentException,3,2024-12-05
470,94,CorrelationId,480570-94,3,2024-12-05
471,95,Feature,CompensationRequestExportQueryHandler,3,2025-09-30
472,95,SucursalId,721,3,2025-09-30
473,95,UserId,87,3,2025-09-30
474,95,ExceptionType,InvalidOperationException,3,2025-09-30
475,95,CorrelationId,403815-95,3,2025-09-30
476,96,Feature,UpdateSucursalCommandHandler,3,2024-11-06
477,96,SucursalId,122,3,2024-11-06
478,96,UserId,107,3,2024-11-06
479,96,ExceptionType,SmtpException,3,2024-11-06
480,96,CorrelationId,265969-96,3,2024-11-06
481,97,Feature,VerifyEmailCommandHandler,3,2025-07-29
482,97,SucursalId,680,3,2025-07-29
483,97,UserId,30,3,2025-07-29
484,97,ExceptionType,SmtpException,3,2025-07-29
485,97,CorrelationId,201784-97,3,2025-07-29
486,98,Feature,CompensationRequestExportQueryHandler,3,2026-02-12
487,98,SucursalId,175,3,2026-02-12
488,98,UserId,123,3,2026-02-12
489,98,ExceptionType,ArgumentException,3,2026-02-12
490,98,CorrelationId,714649-98,3,2026-02-12
491,99,Feature,CompensationRequestExportQueryHandler,3,2025-12-05
492,99,SucursalId,21,3,2025-12-05
493,99,UserId,115,3,2025-12-05
494,99,ExceptionType,SmtpException,3,2025-12-05
495,99,CorrelationId,804393-99,3,2025-12-05
496,100,Feature,BulkCreateSucursalesCommandHandler,3,2025-08-03
497,100,SucursalId,182,3,2025-08-03
498,100,UserId,18,3,2025-08-03
499,100,ExceptionType,DbUpdateException,3,2025-08-03
500,100,CorrelationId,810277-100,3,2025-08-03
501,101,Feature,CreateUserCommandHandler,3,2025-02-07
502,101,SucursalId,729,3,2025-02-07
503,101,UserId,75,3,2025-02-07
504,101,ExceptionType,ArgumentException,3,2025-02-07
505,101,CorrelationId,471942-101,3,2025-02-07
506,102,Feature,EmailService.SendAsync,3,2025-09-09
507,102,SucursalId,259,3,2025-09-09
508,102,UserId,94,3,2025-09-09
509,102,ExceptionType,InvalidOperationException,3,2025-09-09
510,102,CorrelationId,638362-102,3,2025-09-09
511,103,Feature,CreateSucursalCommandHandler,3,2024-10-13
512,103,SucursalId,171,3,2024-10-13
513,103,UserId,82,3,2024-10-13
514,103,ExceptionType,ArgumentException,3,2024-10-13
515,103,CorrelationId,780950-103,3,2024-10-13
516,104,Feature,EmailService.SendAsync,3,2024-09-01
517,104,SucursalId,280,3,2024-09-01
518,104,UserId,11,3,2024-09-01
519,104,ExceptionType,ArgumentException,3,2024-09-01
520,104,CorrelationId,449090-104,3,2024-09-01
521,105,Feature,CreateSucursalCommandHandler,3,2025-07-18
522,105,SucursalId,390,3,2025-07-18
523,105,UserId,78,3,2025-07-18
524,105,ExceptionType,InvalidOperationException,3,2025-07-18
525,105,CorrelationId,592957-105,3,2025-07-18
526,106,Feature,VerifyEmailCommandHandler,3,2025-01-24
527,106,SucursalId,376,3,2025-01-24
528,106,UserId,86,3,2025-01-24
529,106,ExceptionType,SmtpException,3,2025-01-24
530,106,CorrelationId,526974-106,3,2025-01-24
531,107,Feature,VerifyEmailCommandHandler,3,2025-12-25
532,107,SucursalId,289,3,2025-12-25
533,107,UserId,126,3,2025-12-25
534,107,ExceptionType,ArgumentException,3,2025-12-25
535,107,CorrelationId,571727-107,3,2025-12-25
536,108,Feature,CreateLocalidadCommandHandler,3,2025-11-18
537,108,SucursalId,132,3,2025-11-18
538,108,UserId,6,3,2025-11-18
539,108,ExceptionType,ArgumentException,3,2025-11-18
540,108,CorrelationId,354763-108,3,2025-11-18
541,109,Feature,CreateUserCommandHandler,3,2024-03-17
542,109,SucursalId,10,3,2024-03-17
543,109,UserId,20,3,2024-03-17
544,109,ExceptionType,ArgumentException,3,2024-03-17
545,109,CorrelationId,872279-109,3,2024-03-17
546,110,Feature,BulkCreateSucursalesCommandHandler,3,2026-04-06
547,110,SucursalId,642,3,2026-04-06
548,110,UserId,150,3,2026-04-06
549,110,ExceptionType,SmtpException,3,2026-04-06
550,110,CorrelationId,761654-110,3,2026-04-06
551,111,Feature,BulkCreateSucursalesCommandHandler,3,2026-06-13
552,111,SucursalId,205,3,2026-06-13
553,111,UserId,36,3,2026-06-13
554,111,ExceptionType,ArgumentException,3,2026-06-13
555,111,CorrelationId,294589-111,3,2026-06-13
556,112,Feature,EmailService.SendAsync,3,2024-04-03
557,112,SucursalId,52,3,2024-04-03
558,112,UserId,54,3,2024-04-03
559,112,ExceptionType,SmtpException,3,2024-04-03
560,112,CorrelationId,435968-112,3,2024-04-03
561,113,Feature,CreateUserCommandHandler,3,2025-10-02
562,113,SucursalId,481,3,2025-10-02
