CompensationRequestErrorId,CompensationRequestId,ErrorId,Description,CreatedAt
82,82,1,Localidad inexistente,2024-08-17
83,83,3,CSV export format not supported,2025-09-22
84,84,2,DbUpdateException,2025-04-10
85,85,3,Localidad inexistente,2026-01-27
86,86,2,Validation failed,2024-05-08
87,87,2,SMTP timeout,2025-04-19
88,88,3,CSV export format not supported,2024-07-14
89,89,1,CSV export format not supported,2024-11-10
90,90,2,Validation failed,2024-07-23
91,91,2,DbUpdateException,2025-12-11
92,92,1,CSV export format not supported,2026-03-11
93,93,3,SocialNetworkId inválido,2025-05-13
94,94,2,Email inválido,2024-12-05
95,95,2,CSV export format not supported,2025-09-30
96,96,2,SMTP timeout,2024-11-06
97,97,2,Email inválido,2025-07-29
98,98,3,Validation failed,2026-02-12
99,99,2,SMTP timeout,2025-12-05
100,100,2,Token expirado,2025-08-03
101,101,1,Token expirado,2025-02-07
102,102,2,SMTP timeout,2025-09-09
103,103,3,CSV export format not supported,2024-10-13
104,104,2,Token expirado,2024-09-01
105,105,3,Localidad inexistente,2025-07-18
106,106,3,Validation failed,2025-01-24
107,107,3,Email inválido,2025-12-25
108,108,3,SocialNetworkId inválido,2025-11-18
109,109,1,SocialNetworkId inválido,2024-03-17
110,110,3,SMTP timeout,2026-04-06
111,111,3,Localidad inexistente,2026-06-13
112,112,1,Email inválido,2024-04-03
113,113,2,CSV export format not supported,2025-10-02
114,114,1,DbUpdateException,2024-07-08
115,115,1,Token expirado,2024-05-06
116,116,2,DbUpdateException,2025-02-26
117,117,2,SocialNetworkId inválido,2026-06-30
118,118,3,SocialNetworkId inválido,2026-01-20
119,119,3,DbUpdateException,2025-08-25
120,120,2,Email inválido,2025-05-26
121,121,3,CSV export format not supported,2026-06-20
122,122,3,Token expirado,2026-02-07
123,123,3,SMTP timeout,2025-01-09
124,124,2,Localidad inexistente,2025-02-04
125,125,1,CSV export format not supported,2026-05-24
126,126,1,CSV export format not supported,2024-03-02
127,127,1,SMTP timeout,2024-08-09
128,128,2,Token expirado,2024-05-04
129,129,2,Token expirado,2024-01-19
130,130,2,SMTP timeout,2024-12-14
131,131,3,CSV export format not supported,2025-08-30
132,132,3,SocialNetworkId inválido,2026-06-20
133,133,2,DbUpdateException,2026-01-15
134,134,1,CSV export format not supported,2024-09-09
135,135,2,SocialNetworkId inválido,2024-11-17
136,136,1,Validation failed,2026-03-29
137,137,3,SocialNetworkId inválido,2024-10-30
138,138,1,Token expirado,2025-10-02
139,139,2,Token expirado,2025-12-24
140,140,2,Localidad inexistente,2025-05-03
141,141,3,Token expirado,2024-11-30
142,142,3,SocialNetworkId inválido,2024-02-27
143,143,1,Token expirado,2024-06-16
144,144,2,Validation failed,2026-02-07
145,145,1,SocialNetworkId inválido,2026-04-22
146,146,1,CSV export format not supported,2025-10-22
147,147,2,Validation failed,2026-06-10
148,148,3,Localidad inexistente,2024-01-25
149,149,2,Token expirado,2025-08-19
150,150,3,DbUpdateException,2025-07-03
151,151,3,Email inválido,2026-05-04
152,152,1,Email inválido,2025-10-28
153,153,3,DbUpdateException,2024-04-19
154,154,1,Email inválido,2024-02-25
155,155,2,Validation failed,2026-04-29
156,156,2,Email inválido,2026-02-10
157,157,1,DbUpdateException,2026-05-23
158,158,1,Token expirado,2026-01-16
159,159,2,DbUpdateException,2026-06-16
160,160,3,SocialNetworkId inválido,2024-09-26
161,161,2,DbUpdateException,2024-03-29
162,162,1,Validation failed,2026-01-18
163,163,3,SocialNetworkId inválido,2025-04-21
164,164,3,Email inválido,2026-04-01
165,165,2,Email inválido,2026-05-05
166,166,3,Token expirado,2025-09-04
167,167,2,Token expirado,2026-01-22
168,168,2,Token expirado,2025-11-19
169,169,3,SMTP timeout,2024-12-06
170,170,3,SMTP timeout,2024-12-15
171,171,3,SocialNetworkId inválido,2025-03-05
172,172,3,CSV export format not supported,2025-11-11
173,173,3,Token expirado,2025-02-08
174,174,3,Localidad inexistente,2025-10-21
175,175,1,DbUpdateException,2025-12-12
176,176,1,Email inválido,2024-07-14
177,177,1,Validation failed,2024-09-16
178,178,2,Localidad inexistente,2025-02-01
179,179,2,SocialNetworkId inválido,2024-02-01
180,180,2,SocialNetworkId inválido,2025-05-17
181,181,3,CSV export format not supported,2024-09-08
182,182,2,Email inválido,2025-04-25
183,183,3,CSV export format not supported,2024-05-11
184,184,3,DbUpdateException,2025-12-14
185,185,1,Token expirado,2025-04-07
186,186,1,Validation failed,2025-05-08
187,187,3,CSV export format not supported,2026-06-05
188,188,3,CSV export format not supported,2026-01-28
189,189,3,Validation failed,2025-12-26
190,190,1,Token expirado,2025-12-19
191,191,1,Email inválido,2024-05-03
192,192,3,Validation failed,2024-09-26
193,193,3,Localidad inexistente,2024-05-30
194,194,2,DbUpdateException,2025-06-21
195,195,2,Email inválido,2024-08-06
196,196,2,CSV export format not supported,2025-11-14
197,197,3,Email inválido,2025-10-03
198,198,2,Token expirado,2026-06-10
199,199,3,SMTP timeout,2024-05-10
200,200,2,SocialNetworkId inválido,2026-03-02
201,201,2,CSV export format not supported,2025-10-18
202,202,2,SMTP timeout,2026-05-25
203,203,2,DbUpdateException,2025-05-16
204,204,3,Email inválido,2025-06-09
205,205,3,DbUpdateException,2026-04-25
206,206,1,Email inválido,2025-09-19
207,207,2,DbUpdateException,2026-03-28
208,208,2,Validation failed,2026-06-27
209,209,3,SocialNetworkId inválido,2024-12-15
210,210,3,CSV export format not supported,2024-03-09
211,211,2,SocialNetworkId inválido,2024-09-29
212,212,1,Localidad inexistente,2024-05-02
213,213,3,Email inválido,2025-07-02
214,214,3,DbUpdateException,2024-04-24
215,215,2,Email inválido,2025-09-10
216,216,3,Email inválido,2024-08-13
217,217,3,CSV export format not supported,2024-04-03
218,218,1,Email inválido,2024-09-04
219,219,3,CSV export format not supported,2024-11-11
220,220,1,Validation failed,2025-12-30
221,221,3,Token expirado,2025-05-18
222,222,2,Validation failed,2025-03-28
223,223,1,Email inválido,2024-12-27
224,224,3,Localidad inexistente,2025-07-30
225,225,3,SocialNetworkId inválido,2024-01-21
226,226,2,SMTP timeout,2025-01-10
227,227,2,SocialNetworkId inválido,2024-02-07
228,228,2,DbUpdateException,2024-03-22
229,229,2,SocialNetworkId inválido,2025-02-23
230,230,3,Localidad inexistente,2025-04-26
231,231,3,SocialNetworkId inválido,2026-03-02
232,232,3,Localidad inexistente,2024-07-02
233,233,2,Validation failed,2026-04-12
234,234,1,DbUpdateException,2024-06-08
235,235,1,SocialNetworkId inválido,2024-04-22
236,236,3,Validation failed,2025-06-25
237,237,3,DbUpdateException,2025-09-12
238,238,1,DbUpdateException,2026-04-04
239,239,1,Email inválido,2025-01-19
240,240,3,DbUpdateException,2026-06-04
241,241,2,Token expirado,2025-03-25
242,242,3,DbUpdateException,2024-09-08
243,243,3,DbUpdateException,2025-01-30
244,244,1,Email inválido,2026-06-08
245,245,3,Localidad inexistente,2024-04-13
246,246,2,CSV export format not supported,2025-06-17
247,247,2,CSV export format not supported,2024-02-22
248,248,3,SMTP timeout,2026-03-09
249,249,1,DbUpdateException,2024-05-25
250,250,1,Validation failed,2024-01-13
251,251,1,DbUpdateException,2024-01-01
252,252,2,CSV export format not supported,2024-06-18
253,253,2,Token expirado,2025-04-25
254,254,1,Validation failed,2025-08-31
255,255,1,DbUpdateException,2026-01-11
256,256,3,SMTP timeout,2026-03-13
257,257,2,SocialNetworkId inválido,2026-01-30
258,258,3,Validation failed,2024-03-08
259,259,2,Email inválido,2024-02-01
260,260,2,Token expirado,2025-03-16
261,261,1,SMTP timeout,2024-03-25
262,262,3,Localidad inexistente,2026-03-23
263,263,2,SocialNetworkId inválido,2024-10-25
264,264,2,Localidad inexistente,2024-04-12
265,265,2,DbUpdateException,2025-05-17
266,266,3,CSV export format not supported,2026-05-22
267,267,3,CSV export format not supported,2025-02-06
268,268,2,DbUpdateException,2025-12-23
269,269,1,SMTP timeout,2025-12-21
270,270,3,Email inválido,2026-01-10
271,271,3,Email inválido,2025-10-21
272,272,1,DbUpdateException,2025-02-04
273,273,3,SMTP timeout,2025-02-11
274,274,1,DbUpdateException,2025-08-03
275,275,1,DbUpdateException,2024-02-13
276,276,3,Token expirado,2024-02-09
277,277,1,Token expirado,2026-04-24
278,278,3,Localidad inexistente,2025-08-27
279,279,2,Validation failed,2026-02-12
280,280,2,CSV export format not supported,2025-08-08
281,281,2,Localidad inexistente,2025-08-16
282,282,1,Validation failed,2025-03-16
283,283,2,DbUpdateException,2025-09-06
284,284,1,SocialNetworkId inválido,2025-07-12
285,285,3,SMTP timeout,2024-04-11
286,286,1,Token expirado,2024-06-14
287,287,3,SMTP timeout,2025-07-09
288,288,3,SocialNetworkId inválido,2026-02-27
289,289,2,CSV export format not supported,2026-02-23
290,290,2,DbUpdateException,2024-04-04
291,291,2,CSV export format not supported,2024-05-29
292,292,3,Email inválido,2026-02-13
293,293,1,CSV export format not supported,2025-08-23
294,294,3,CSV export format not supported,2025-10-19
295,295,3,Localidad inexistente,2025-11-11
296,296,2,SMTP timeout,2026-05-13
297,297,3,Email inválido,2025-10-01
298,298,3,DbUpdateException,2026-05-29
299,299,1,SocialNetworkId inválido,2026-05-20
300,300,2,SocialNetworkId inválido,2024-01-24
301,301,2,Token expirado,2024-04-26
302,302,1,SocialNetworkId inválido,2026-03-30
303,303,3,DbUpdateException,2025-11-04
304,304,1,SocialNetworkId inválido,2024-02-23
305,305,1,Email inválido,2025-01-04
306,306,1,CSV export format not supported,2025-08-05
307,307,2,Localidad inexistente,2026-04-21
308,308,2,Email inválido,2025-07-14
309,309,2,Email inválido,2025-08-27
310,310,3,Email inválido,2025-09-11
311,311,3,SMTP timeout,2025-10-18
312,312,1,DbUpdateException,2024-03-14
313,313,1,Token expirado,2024-04-23
314,314,3,Validation failed,2025-10-25
315,315,3,Validation failed,2025-11-10
316,316,2,CSV export format not supported,2024-10-07
317,317,1,SMTP timeout,2024-10-23
318,318,3,CSV export format not supported,2024-01-15
319,319,3,DbUpdateException,2025-12-05
320,320,3,Email inválido,2024-01-18
321,321,2,DbUpdateException,2026-01-08
322,322,3,DbUpdateException,2024-03-05
323,323,1,Token expirado,2025-05-23
324,324,1,Validation failed,2025-05-07
325,325,3,SocialNetworkId inválido,2025-02-15
326,326,2,Email inválido,2024-11-28
327,327,1,SocialNetworkId inválido,2025-03-17
328,328,2,SocialNetworkId inválido,2026-06-06
329,329,2,DbUpdateException,2026-01-25
330,330,3,SocialNetworkId inválido,2024-10-14
331,331,2,Localidad inexistente,2026-04-04
332,332,3,CSV export format not supported,2024-06-20
333,333,3,Localidad inexistente,2025-05-30
334,334,1,Localidad inexistente,2025-04-08
335,335,1,Email inválido,2026-01-25
336,336,3,SocialNetworkId inválido,2025-11-08
337,337,3,Validation failed,2025-12-05
338,338,3,SocialNetworkId inválido,2025-06-29
339,339,1,SMTP timeout,2024-03-15
340,340,2,CSV export format not supported,2024-06-10
341,341,1,Email inválido,2024-11-19
342,342,3,Localidad inexistente,2026-06-14
343,343,3,Localidad inexistente,2025-05-05
344,344,1,Email inválido,2024-05-09
345,345,2,SMTP timeout,2025-07-04
346,346,3,SocialNetworkId inválido,2026-05-08
347,347,2,CSV export format not supported,2025-03-08
348,348,3,Localidad inexistente,2024-02-03
349,349,3,CSV export format not supported,2025-12-05
350,350,3,Token expirado,2025-10-07
351,351,1,CSV export format not supported,2024-10-26
352,352,2,Token expirado,2024-06-28
353,353,1,Email inválido,2024-01-27
354,354,2,Validation failed,2025-01-05
355,355,2,Token expirado,2024-06-01
356,356,1,CSV export format not supported,2025-08-13
357,357,2,Localidad inexistente,2025-09-08
358,358,3,DbUpdateException,2024-10-01
359,359,3,CSV export format not supported,2025-10-02
360,360,2,Validation failed,2026-01-05
361,361,3,DbUpdateException,2025-12-14
362,362,3,Validation failed,2026-06-19
363,363,3,DbUpdateException,2024-09-14
364,364,3,SMTP timeout,2025-01-17
365,365,1,SocialNetworkId inválido,2025-11-30
366,366,2,Email inválido,2024-10-13
367,367,3,Localidad inexistente,2024-10-09
368,368,3,Token expirado,2024-10-25
369,369,1,SocialNetworkId inválido,2024-05-05
370,370,3,Email inválido,2025-04-22
371,371,3,Localidad inexistente,2024-08-09
372,372,2,Validation failed,2026-02-07
373,373,2,Localidad inexistente,2025-07-19
374,374,2,Localidad inexistente,2024-04-19
375,375,2,SocialNetworkId inválido,2025-10-14
376,376,2,SocialNetworkId inválido,2025-01-11
377,377,2,Email inválido,2025-10-16
378,378,1,Email inválido,2026-05-08
379,379,1,CSV export format not supported,2025-09-13
380,380,1,SMTP timeout,2024-04-04
381,381,3,Email inválido,2025-01-10
382,382,3,SMTP timeout,2026-01-31
383,383,1,Token expirado,2024-07-16
384,384,2,SocialNetworkId inválido,2026-06-11
385,385,3,Localidad inexistente,2026-02-25
386,386,3,Validation failed,2025-08-08
387,387,3,Localidad inexistente,2024-08-03
388,388,3,Token expirado,2024-01-06
389,389,3,Localidad inexistente,2024-02-17
390,390,3,SocialNetworkId inválido,2025-12-11
391,391,3,Validation failed,2026-01-01
392,392,2,CSV export format not supported,2025-10-01
393,393,2,SMTP timeout,2026-03-13
394,394,3,SMTP timeout,2024-01-22
395,395,3,Localidad inexistente,2026-03-10
396,396,3,Validation failed,2025-04-29
397,397,2,Email inválido,2026-02-06
398,398,2,DbUpdateException,2024-09-06
399,399,3,Token expirado,2024-04-30
400,400,2,Validation failed,2025-08-27
401,401,3,Localidad inexistente,2025-01-22
402,402,1,Token expirado,2026-04-30
403,403,2,Email inválido,2024-07-15
404,404,1,Localidad inexistente,2024-01-31
405,405,2,SocialNetworkId inválido,2025-02-04
406,406,3,Localidad inexistente,2024-03-24
407,407,2,Token expirado,2025-10-25
408,408,2,Validation failed,2025-06-18
409,409,3,CSV export format not supported,2024-10-13
410,410,3,SMTP timeout,2025-04-04
411,411,3,Validation failed,2026-03-28
412,412,2,SocialNetworkId inválido,2026-03-07
413,413,1,Token expirado,2024-08-25
414,414,3,Localidad inexistente,2024-04-21
415,415,1,Email inválido,2024-06-16
416,416,2,Validation failed,2025-04-23
417,417,2,SMTP timeout,2025-11-14
418,418,3,Validation failed,2024-10-28
419,419,3,CSV export format not supported,2024-07-28
420,420,2,SocialNetworkId inválido,2026-03-20
421,421,1,DbUpdateException,2025-08-26
422,422,3,Email inválido,2026-04-29
423,423,2,Validation failed,2026-05-18
424,424,3,Validation failed,2024-01-24
425,425,1,SMTP timeout,2026-05-31
426,426,3,SMTP timeout,2025-07-07
427,427,3,Localidad inexistente,2025-11-21
428,428,2,SMTP timeout,2025-12-04
429,429,3,DbUpdateException,2025-02-11
430,430,3,Localidad inexistente,2025-07-13
431,431,3,DbUpdateException,2026-05-11
432,432,2,SocialNetworkId inválido,2026-01-23
433,433,3,SocialNetworkId inválido,2026-02-08
434,434,2,Localidad inexistente,2025-02-15
435,435,3,CSV export format not supported,2024-03-06
436,436,2,SMTP timeout,2025-09-30
437,437,3,Localidad inexistente,2026-02-06
438,438,2,Localidad inexistente,2025-10-02
439,439,2,Localidad inexistente,2025-09-26
440,440,2,SMTP timeout,2026-02-03
441,441,2,SMTP timeout,2025-02-07
442,442,1,SocialNetworkId inválido,2025-02-04
443,443,2,CSV export format not supported,2025-12-01
444,444,2,Token expirado,2024-06-24
445,445,2,Token expirado,2026-05-31
446,446,3,Localidad inexistente,2024-09-26
447,447,2,Email inválido,2025-11-27
448,448,1,CSV export format not supported,2025-06-08
449,449,2,Localidad inexistente,2026-05-03
450,450,2,Token expirado,2024-03-31
451,451,3,SocialNetworkId inválido,2025-09-26
452,452,3,SMTP timeout,2024-11-20
453,453,2,CSV export format not supported,2026-03-05
454,454,2,Token expirado,2025-05-04
455,455,3,Validation failed,2025-07-24
456,456,2,SMTP timeout,2026-02-11
457,457,3,Token expirado,2025-11-16
458,458,3,SocialNetworkId inválido,2025-05-29
459,459,1,DbUpdateException,2026-05-21
460,460,1,SMTP timeout,2025-10-24
461,461,2,Validation failed,2024-01-06
462,462,2,Validation failed,2024-11-06
463,463,3,Validation failed,2025-04-04
464,464,3,Token expirado,2025-01-10
465,465,2,SMTP timeout,2026-04-13
466,466,3,DbUpdateException,2025-09-13
467,467,2,DbUpdateException,2024-01-09
468,468,1,CSV export format not supported,2025-07-20
469,469,2,Token expirado,2026-03-16
470,470,1,Localidad inexistente,2025-10-04
471,471,3,Validation failed,2026-04-16
472,472,3,CSV export format not supported,2025-07-16
473,473,3,Localidad inexistente,2025-03-29
474,474,1,SMTP timeout,2025-08-03
475,475,2,Email inválido,2024-11-30
476,476,3,Email inválido,2024-11-28
477,477,3,Email inválido,2024-05-05
478,478,3,SocialNetworkId inválido,2025-08-07
479,479,2,Localidad inexistente,2024-07-10
480,480,3,CSV export format not supported,2025-06-23
481,481,3,SMTP timeout,2024-06-01
482,482,3,CSV export format not supported,2024-07-11
483,483,3,Token expirado,2025-12-01
484,484,3,Email inválido,2026-03-28
485,485,3,SocialNetworkId inválido,2025-02-01
486,486,3,Localidad inexistente,2026-06-11
487,487,3,SocialNetworkId inválido,2026-01-17
488,488,2,Email inválido,2025-10-31
489,489,2,SMTP timeout,2024-08-03
490,490,3,Validation failed,2024-07-31
491,491,3,SocialNetworkId inválido,2024-04-27
492,492,3,CSV export format not supported,2024-07-04
493,493,3,Email inválido,2026-01-30
494,494,2,SMTP timeout,2024-07-16
495,495,1,DbUpdateException,2026-02-21
496,496,2,Token expirado,2025-06-21
497,497,3,Token expirado,2024-05-11
498,498,3,Email inválido,2026-03-20
499,499,2,SocialNetworkId inválido,2026-03-08
500,500,2,Token expirado,2024-07-14
501,501,1,Localidad inexistente,2024-01-28
502,502,2,DbUpdateException,2025-01-05
503,503,1,Localidad inexistente,2026-01-06
504,504,3,Token expirado,2025-06-27
505,505,1,SocialNetworkId inválido,2025-12-28
506,506,3,Validation failed,2025-07-31
507,507,3,Token expirado,2025-03-29
508,508,1,CSV export format not supported,2025-05-06
509,509,3,Localidad inexistente,2024-03-01
510,510,3,CSV export format not supported,2025-04-05
511,511,3,CSV export format not supported,2024-01-14
512,512,3,SocialNetworkId inválido,2024-04-20
513,513,1,Token expirado,2025-04-08
514,514,2,Validation failed,2025-06-27
515,515,1,CSV export format not supported,2024-01-18
516,516,2,Email inválido,2024-01-31
517,517,2,Validation failed,2026-04-09
518,518,2,CSV export format not supported,2024-12-27
519,519,2,Localidad inexistente,2025-02-28
520,520,1,Localidad inexistente,2025-05-12
521,521,1,Localidad inexistente,2026-02-25
522,522,2,DbUpdateException,2026-03-14
523,523,1,SocialNetworkId inválido,2024-08-17
524,524,3,Email inválido,2025-02-24
525,525,1,Token expirado,2025-05-06
526,526,3,Localidad inexistente,2025-08-05
527,527,3,Localidad inexistente,2026-06-23
528,528,1,Localidad inexistente,2025-07-07
529,529,3,Email inválido,2026-05-20
530,530,2,DbUpdateException,2024-04-24
531,531,2,SMTP timeout,2025-02-12
532,532,1,Token expirado,2025-06-09
533,533,2,CSV export format not supported,2026-04-11
534,534,1,DbUpdateException,2026-05-12
535,535,3,SMTP timeout,2025-06-07
536,536,2,Localidad inexistente,2026-01-13
537,537,3,Validation failed,2025-12-31
538,538,3,CSV export format not supported,2025-05-21
539,539,1,Validation failed,2026-01-10
540,540,2,Validation failed,2025-03-07
541,541,2,CSV export format not supported,2024-09-29
542,542,3,Email inválido,2025-01-30
543,543,3,DbUpdateException,2025-05-29
544,544,1,Validation failed,2024-02-12
545,545,1,SocialNetworkId inválido,2025-08-12
546,546,3,Token expirado,2024-04-25
547,547,2,Token expirado,2024-08-06
548,548,2,SMTP timeout,2025-07-23
549,549,1,Localidad inexistente,2024-09-25
550,550,2,CSV export format not supported,2024-01-29
551,551,2,Localidad inexistente,2024-09-21
552,552,2,Email inválido,2024-10-05
553,553,2,Email inválido,2025-10-03
554,554,2,Token expirado,2025-06-02
555,555,1,SMTP timeout,2025-11-06
556,556,2,Token expirado,2024-09-09
557,557,1,Email inválido,2025-11-30
558,558,2,Token expirado,2025-10-25
559,559,1,SMTP timeout,2025-05-12
560,560,2,DbUpdateException,2024-02-18
561,561,3,SMTP timeout,2025-02-24
562,562,3,Localidad inexistente,2026-06-04
563,563,1,Validation failed,2024-11-22
564,564,2,SMTP timeout,2026-03-29
565,565,2,Email inválido,2024-04-21
566,566,1,CSV export format not supported,2024-07-10
567,567,2,Validation failed,2025-02-14
568,568,1,DbUpdateException,2024-10-14
569,569,2,CSV export format not supported,2026-02-17
570,570,1,SMTP timeout,2025-05-21
571,571,3,CSV export format not supported,2026-03-15
572,572,3,SocialNetworkId inválido,2024-09-26
573,573,1,Token expirado,2024-07-27
574,574,2,Token expirado,2025-06-29
575,575,2,Token expirado,2024-05-10
576,576,2,Token expirado,2024-02-02
577,577,3,SocialNetworkId inválido,2024-05-29
578,578,3,SocialNetworkId inválido,2026-02-27
579,579,3,CSV export format not supported,2025-11-11
580,580,3,Localidad inexistente,2024-06-22
581,581,2,Localidad inexistente,2026-04-26
582,582,3,Email inválido,2026-01-06
583,583,3,SocialNetworkId inválido,2026-05-28
584,584,1,Token expirado,2024-10-20
585,585,2,Token expirado,2025-01-03
586,586,1,Email inválido,2025-12-22
587,587,3,Validation failed,2025-06-08
588,588,3,SocialNetworkId inválido,2024-11-18
589,589,1,DbUpdateException,2024-08-26
590,590,1,SMTP timeout,2026-05-01
591,591,3,Localidad inexistente,2024-04-25
592,592,3,SMTP timeout,2025-06-13
593,593,3,SocialNetworkId inválido,2024-07-08
594,594,1,Validation failed,2024-04-27
595,595,2,DbUpdateException,2024-10-29
596,596,3,CSV export format not supported,2025-10-27
597,597,3,SocialNetworkId inválido,2024-11-18
598,598,3,Token expirado,2026-05-05
599,599,1,Validation failed,2026-05-04
600,600,1,Token expirado,2024-10-02
601,601,3,Localidad inexistente,2026-05-10
602,602,3,CSV export format not supported,2025-02-12
603,603,1,Email inválido,2026-03-02
604,604,3,Validation failed,2026-01-13
605,605,2,CSV export format not supported,2025-03-19
606,606,2,Token expirado,2024-02-01
607,607,1,SocialNetworkId inválido,2024-01-24
608,608,2,Validation failed,2025-10-08
609,609,1,CSV export format not supported,2025-08-08
610,610,2,SMTP timeout,2025-04-16
611,611,3,DbUpdateException,2024-03-17
612,612,1,Token expirado,2025-03-22
613,613,3,Token expirado,2026-04-10
614,614,3,Token expirado,2024-10-27
615,615,1,CSV export format not supported,2026-05-15
616,616,2,Validation failed,2024-02-20
617,617,2,SMTP timeout,2024-08-04
618,618,1,CSV export format not supported,2026-06-25
619,619,2,SMTP timeout,2025-12-06
620,620,3,SocialNetworkId inválido,2025-05-08
621,621,2,SocialNetworkId inválido,2025-09-17
622,622,3,CSV export format not supported,2026-02-04
623,623,1,Token expirado,2024-02-14
624,624,3,Token expirado,2025-12-18
625,625,1,Token expirado,2025-08-30
626,626,3,SMTP timeout,2026-02-23
627,627,3,Localidad inexistente,2025-07-05
628,628,3,Email inválido,2024-12-26
629,629,3,DbUpdateException,2026-06-21
630,630,2,Validation failed,2026-06-11
631,631,1,DbUpdateException,2026-02-02
632,632,2,Validation failed,2024-11-06
633,633,1,DbUpdateException,2024-02-18
634,634,2,SMTP timeout,2024-12-09
635,635,2,SocialNetworkId inválido,2024-02-04
636,636,1,SocialNetworkId inválido,2025-09-06
637,637,1,DbUpdateException,2025-09-07
638,638,1,Validation failed,2025-12-04
639,639,3,SMTP timeout,2024-03-26
640,640,2,SocialNetworkId inválido,2024-01-11
641,641,1,DbUpdateException,2026-06-02
642,642,3,SocialNetworkId inválido,2025-03-24
643,643,3,Localidad inexistente,2025-09-01
644,644,3,DbUpdateException,2025-02-06
645,645,3,Validation failed,2024-10-11
646,646,3,Email inválido,2024-03-14
647,647,3,Token expirado,2025-01-02
648,648,3,Localidad inexistente,2024-02-04
649,649,2,CSV export format not supported,2025-07-14
650,650,3,Email inválido,2025-05-27
651,651,2,SMTP timeout,2024-01-22
652,652,3,CSV export format not supported,2024-06-13
653,653,1,SMTP timeout,2025-02-04
654,654,2,SocialNetworkId inválido,2026-03-19
655,655,3,Token expirado,2024-02-10
656,656,1,SocialNetworkId inválido,2024-09-16
657,657,1,CSV export format not supported,2024-05-19
658,658,1,Validation failed,2026-05-27
659,659,3,Localidad inexistente,2026-05-13
660,660,2,Localidad inexistente,2025-06-17
661,661,1,SMTP timeout,2026-03-31
