CompensationRequestId,UserId,SucursalId,CompensationRequestStateId,Observations,ErrorId,ErrorMessage,ErrorDetails,CreatedAt,ClosedAt,IsOpen
13,36,148,2,CreateSucursalCommandHandler - incidente simulado 13,3,Validation failed,CreateSucursalCommandHandler: Validation failed. RunId MOCK-13,2026-01-21,2026-02-06,0
14,108,401,4,EmailService.SendAsync - incidente simulado 14,3,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-14,2026-04-06,,1
15,103,127,1,VerifyEmailCommandHandler - incidente simulado 15,1,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-15,2026-05-04,,1
16,31,534,1,CreateLocalidadCommandHandler - incidente simulado 16,2,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-16,2025-03-30,,1
17,77,128,2,CreateUserCommandHandler - incidente simulado 17,2,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-0,2024-04-15,2024-05-03,0
18,11,391,4,CreateLocalidadCommandHandler - incidente simulado 18,3,DbUpdateException,CreateLocalidadCommandHandler: DbUpdateException. RunId MOCK-1,2024-03-13,,1
19,58,536,2,CompensationRequestExportQueryHandler - incidente simulado 19,2,DbUpdateException,CompensationRequestExportQueryHandler: DbUpdateException. RunId MOCK-2,2025-10-03,2025-10-07,0
20,111,432,4,CreateUserCommandHandler - incidente simulado 20,3,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-3,2025-09-09,,1
21,131,337,3,VerifyEmailCommandHandler - incidente simulado 21,2,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-4,2024-04-17,2024-05-01,0
22,150,507,1,CompensationRequestExportQueryHandler - incidente simulado 22,3,Email inválido,CompensationRequestExportQueryHandler: Email inválido. RunId MOCK-5,2024-03-26,,1
23,133,684,2,CompensationRequestExportQueryHandler - incidente simulado 23,1,Validation failed,CompensationRequestExportQueryHandler: Validation failed. RunId MOCK-6,2025-03-20,2025-04-02,0
24,31,783,2,BulkCreateSucursalesCommandHandler - incidente simulado 24,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-7,2024-04-20,2024-04-28,0
25,89,663,2,EmailService.SendAsync - incidente simulado 25,3,Localidad inexistente,EmailService.SendAsync: Localidad inexistente. RunId MOCK-8,2025-11-19,2025-12-04,0
26,56,581,2,EmailService.SendAsync - incidente simulado 26,3,Localidad inexistente,EmailService.SendAsync: Localidad inexistente. RunId MOCK-9,2026-06-03,2026-06-09,0
27,65,368,1,CreateSucursalCommandHandler - incidente simulado 27,3,CSV export format not supported,CreateSucursalCommandHandler: CSV export format not supported. RunId MOCK-10,2024-12-02,,1
28,68,788,2,CreateLocalidadCommandHandler - incidente simulado 28,3,CSV export format not supported,CreateLocalidadCommandHandler: CSV export format not supported. RunId MOCK-11,2024-09-11,2024-09-17,0
29,45,512,4,EmailService.SendAsync - incidente simulado 29,3,Token expirado,EmailService.SendAsync: Token expirado. RunId MOCK-12,2026-02-28,,1
30,79,104,2,CreateUserCommandHandler - incidente simulado 30,3,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-13,2024-12-26,2024-12-29,0
31,68,725,2,EmailService.SendAsync - incidente simulado 31,1,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-14,2025-09-28,2025-10-14,0
32,83,17,2,UpdateSucursalCommandHandler - incidente simulado 32,2,SMTP timeout,UpdateSucursalCommandHandler: SMTP timeout. RunId MOCK-15,2026-04-05,2026-04-09,0
33,102,634,4,VerifyEmailCommandHandler - incidente simulado 33,3,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-16,2024-11-13,,1
34,38,734,1,EmailService.SendAsync - incidente simulado 34,2,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-0,2024-04-05,,1
35,146,85,2,BulkCreateSucursalesCommandHandler - incidente simulado 35,3,DbUpdateException,BulkCreateSucursalesCommandHandler: DbUpdateException. RunId MOCK-1,2024-12-28,2025-01-08,0
36,127,230,1,VerifyEmailCommandHandler - incidente simulado 36,2,Localidad inexistente,VerifyEmailCommandHandler: Localidad inexistente. RunId MOCK-2,2026-04-25,,1
37,4,304,1,CreateUserCommandHandler - incidente simulado 37,3,SMTP timeout,CreateUserCommandHandler: SMTP timeout. RunId MOCK-3,2026-06-15,,1
38,106,191,2,EmailService.SendAsync - incidente simulado 38,3,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-4,2026-05-28,2026-06-14,0
39,68,442,4,VerifyEmailCommandHandler - incidente simulado 39,3,Token expirado,VerifyEmailCommandHandler: Token expirado. RunId MOCK-5,2025-08-12,,1
40,64,552,2,UpdateSucursalCommandHandler - incidente simulado 40,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-6,2024-08-28,2024-09-16,0
41,59,738,4,CreateLocalidadCommandHandler - incidente simulado 41,3,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-7,2026-03-14,,1
42,69,589,2,CreateUserCommandHandler - incidente simulado 42,2,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-8,2025-12-19,2025-12-21,0
43,144,460,2,UpdateSucursalCommandHandler - incidente simulado 43,2,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-9,2025-03-24,2025-04-11,0
44,71,584,3,CreateLocalidadCommandHandler - incidente simulado 44,1,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-10,2025-05-03,2025-05-12,0
45,56,678,2,UpdateSucursalCommandHandler - incidente simulado 45,3,Validation failed,UpdateSucursalCommandHandler: Validation failed. RunId MOCK-11,2025-09-04,2025-09-19,0
46,139,698,2,EmailService.SendAsync - incidente simulado 46,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-12,2025-12-14,2026-01-02,0
47,17,543,1,BulkCreateSucursalesCommandHandler - incidente simulado 47,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-13,2025-09-16,,1
48,8,665,2,UpdateSucursalCommandHandler - incidente simulado 48,1,SMTP timeout,UpdateSucursalCommandHandler: SMTP timeout. RunId MOCK-14,2024-06-14,2024-06-30,0
49,98,714,1,EmailService.SendAsync - incidente simulado 49,2,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-15,2024-04-01,,1
50,111,259,1,CreateLocalidadCommandHandler - incidente simulado 50,1,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-16,2026-05-17,,1
51,87,463,2,CreateLocalidadCommandHandler - incidente simulado 51,1,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-0,2024-07-07,2024-07-11,0
52,25,173,2,CreateSucursalCommandHandler - incidente simulado 52,3,Token expirado,CreateSucursalCommandHandler: Token expirado. RunId MOCK-1,2026-06-19,2026-06-20,0
53,45,194,2,CreateLocalidadCommandHandler - incidente simulado 53,1,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-2,2024-11-30,2024-12-20,0
54,147,182,2,UpdateSucursalCommandHandler - incidente simulado 54,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-3,2025-07-02,2025-07-17,0
55,80,299,3,CreateSucursalCommandHandler - incidente simulado 55,2,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-4,2024-06-01,2024-06-05,0
56,50,618,2,BulkCreateSucursalesCommandHandler - incidente simulado 56,1,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-5,2024-07-03,2024-07-08,0
57,142,68,2,CompensationRequestExportQueryHandler - incidente simulado 57,2,SocialNetworkId inválido,CompensationRequestExportQueryHandler: SocialNetworkId inválido. RunId MOCK-6,2025-11-05,2025-11-16,0
58,11,367,2,CreateUserCommandHandler - incidente simulado 58,3,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-7,2024-05-24,2024-05-26,0
59,83,540,4,BulkCreateSucursalesCommandHandler - incidente simulado 59,3,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-8,2026-05-13,,1
60,51,300,2,UpdateSucursalCommandHandler - incidente simulado 60,2,CSV export format not supported,UpdateSucursalCommandHandler: CSV export format not supported. RunId MOCK-9,2025-07-13,2025-07-27,0
61,144,496,1,BulkCreateSucursalesCommandHandler - incidente simulado 61,1,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-10,2025-01-21,,1
62,49,92,4,CreateSucursalCommandHandler - incidente simulado 62,3,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-11,2025-05-24,,1
63,137,29,4,CreateLocalidadCommandHandler - incidente simulado 63,2,Localidad inexistente,CreateLocalidadCommandHandler: Localidad inexistente. RunId MOCK-12,2026-02-04,,1
64,131,537,2,CreateSucursalCommandHandler - incidente simulado 64,3,Validation failed,CreateSucursalCommandHandler: Validation failed. RunId MOCK-13,2025-01-29,2025-02-04,0
65,57,730,1,CompensationRequestExportQueryHandler - incidente simulado 65,1,SMTP timeout,CompensationRequestExportQueryHandler: SMTP timeout. RunId MOCK-14,2025-12-16,,1
66,98,211,2,CreateSucursalCommandHandler - incidente simulado 66,1,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-15,2026-01-01,2026-01-05,0
67,100,234,2,CreateLocalidadCommandHandler - incidente simulado 67,3,SMTP timeout,CreateLocalidadCommandHandler: SMTP timeout. RunId MOCK-16,2024-09-03,2024-09-15,0
68,147,728,1,VerifyEmailCommandHandler - incidente simulado 68,1,Validation failed,VerifyEmailCommandHandler: Validation failed. RunId MOCK-0,2024-06-08,,1
69,107,424,2,EmailService.SendAsync - incidente simulado 69,3,Localidad inexistente,EmailService.SendAsync: Localidad inexistente. RunId MOCK-1,2026-06-18,2026-07-01,0
70,11,713,3,CreateSucursalCommandHandler - incidente simulado 70,2,Validation failed,CreateSucursalCommandHandler: Validation failed. RunId MOCK-2,2024-07-13,2024-07-28,0
71,126,69,2,BulkCreateSucursalesCommandHandler - incidente simulado 71,3,SMTP timeout,BulkCreateSucursalesCommandHandler: SMTP timeout. RunId MOCK-3,2025-12-07,2025-12-13,0
72,138,294,1,EmailService.SendAsync - incidente simulado 72,3,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-4,2026-01-27,,1
73,23,569,2,EmailService.SendAsync - incidente simulado 73,3,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-5,2025-08-06,2025-08-22,0
74,59,39,4,BulkCreateSucursalesCommandHandler - incidente simulado 74,2,SocialNetworkId inválido,BulkCreateSucursalesCommandHandler: SocialNetworkId inválido. RunId MOCK-6,2025-06-14,,1
75,95,449,2,CreateUserCommandHandler - incidente simulado 75,3,Validation failed,CreateUserCommandHandler: Validation failed. RunId MOCK-7,2024-03-26,2024-03-31,0
76,82,45,1,CreateUserCommandHandler - incidente simulado 76,3,Email inválido,CreateUserCommandHandler: Email inválido. RunId MOCK-8,2026-02-26,,1
77,119,206,3,UpdateSucursalCommandHandler - incidente simulado 77,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-9,2024-12-15,2024-12-17,0
78,50,344,4,CreateUserCommandHandler - incidente simulado 78,2,SMTP timeout,CreateUserCommandHandler: SMTP timeout. RunId MOCK-10,2024-06-05,,1
79,37,561,2,VerifyEmailCommandHandler - incidente simulado 79,3,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-11,2026-06-11,2026-06-22,0
80,83,380,1,CreateSucursalCommandHandler - incidente simulado 80,2,SMTP timeout,CreateSucursalCommandHandler: SMTP timeout. RunId MOCK-12,2025-12-02,,1
81,100,788,2,CreateSucursalCommandHandler - incidente simulado 81,1,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-13,2024-04-16,2024-05-05,0
82,122,586,2,BulkCreateSucursalesCommandHandler - incidente simulado 82,1,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-14,2024-08-17,2024-08-30,0
83,65,354,2,CreateUserCommandHandler - incidente simulado 83,3,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-15,2025-09-22,2025-10-07,0
84,45,398,2,UpdateSucursalCommandHandler - incidente simulado 84,2,DbUpdateException,UpdateSucursalCommandHandler: DbUpdateException. RunId MOCK-16,2025-04-10,2025-04-19,0
85,118,421,1,UpdateSucursalCommandHandler - incidente simulado 85,3,Localidad inexistente,UpdateSucursalCommandHandler: Localidad inexistente. RunId MOCK-0,2026-01-27,,1
86,107,472,3,EmailService.SendAsync - incidente simulado 86,2,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-1,2024-05-08,2024-05-23,0
87,136,211,2,EmailService.SendAsync - incidente simulado 87,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-2,2025-04-19,2025-04-27,0
88,141,783,2,CreateLocalidadCommandHandler - incidente simulado 88,3,CSV export format not supported,CreateLocalidadCommandHandler: CSV export format not supported. RunId MOCK-3,2024-07-14,2024-07-28,0
89,77,794,2,BulkCreateSucursalesCommandHandler - incidente simulado 89,1,CSV export format not supported,BulkCreateSucursalesCommandHandler: CSV export format not supported. RunId MOCK-4,2024-11-10,2024-11-30,0
90,133,443,2,UpdateSucursalCommandHandler - incidente simulado 90,2,Validation failed,UpdateSucursalCommandHandler: Validation failed. RunId MOCK-5,2024-07-23,2024-07-29,0
91,145,788,2,UpdateSucursalCommandHandler - incidente simulado 91,2,DbUpdateException,UpdateSucursalCommandHandler: DbUpdateException. RunId MOCK-6,2025-12-11,2025-12-16,0
92,63,757,4,CreateLocalidadCommandHandler - incidente simulado 92,1,CSV export format not supported,CreateLocalidadCommandHandler: CSV export format not supported. RunId MOCK-7,2026-03-11,,1
93,17,88,2,CreateSucursalCommandHandler - incidente simulado 93,3,SocialNetworkId inválido,CreateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-8,2025-05-13,2025-05-14,0
94,39,219,3,CreateLocalidadCommandHandler - incidente simulado 94,2,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-9,2024-12-05,2024-12-15,0
95,87,721,4,CompensationRequestExportQueryHandler - incidente simulado 95,2,CSV export format not supported,CompensationRequestExportQueryHandler: CSV export format not supported. RunId MOCK-10,2025-09-30,,1
96,107,122,1,UpdateSucursalCommandHandler - incidente simulado 96,2,SMTP timeout,UpdateSucursalCommandHandler: SMTP timeout. RunId MOCK-11,2024-11-06,,1
97,30,680,2,VerifyEmailCommandHandler - incidente simulado 97,2,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-12,2025-07-29,2025-08-03,0
98,123,175,1,CompensationRequestExportQueryHandler - incidente simulado 98,3,Validation failed,CompensationRequestExportQueryHandler: Validation failed. RunId MOCK-13,2026-02-12,,1
99,115,21,4,CompensationRequestExportQueryHandler - incidente simulado 99,2,SMTP timeout,CompensationRequestExportQueryHandler: SMTP timeout. RunId MOCK-14,2025-12-05,,1
100,18,182,2,BulkCreateSucursalesCommandHandler - incidente simulado 100,2,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-15,2025-08-03,2025-08-08,0
101,75,729,4,CreateUserCommandHandler - incidente simulado 101,1,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-16,2025-02-07,,1
102,94,259,4,EmailService.SendAsync - incidente simulado 102,2,SMTP timeout,EmailService.SendAsync: SMTP timeout. RunId MOCK-0,2025-09-09,,1
103,82,171,4,CreateSucursalCommandHandler - incidente simulado 103,3,CSV export format not supported,CreateSucursalCommandHandler: CSV export format not supported. RunId MOCK-1,2024-10-13,,1
104,11,280,2,EmailService.SendAsync - incidente simulado 104,2,Token expirado,EmailService.SendAsync: Token expirado. RunId MOCK-2,2024-09-01,2024-09-16,0
105,78,390,1,CreateSucursalCommandHandler - incidente simulado 105,3,Localidad inexistente,CreateSucursalCommandHandler: Localidad inexistente. RunId MOCK-3,2025-07-18,,1
106,86,376,2,VerifyEmailCommandHandler - incidente simulado 106,3,Validation failed,VerifyEmailCommandHandler: Validation failed. RunId MOCK-4,2025-01-24,2025-02-10,0
107,126,289,2,VerifyEmailCommandHandler - incidente simulado 107,3,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-5,2025-12-25,2026-01-03,0
108,6,132,1,CreateLocalidadCommandHandler - incidente simulado 108,3,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-6,2025-11-18,,1
109,20,10,1,CreateUserCommandHandler - incidente simulado 109,1,SocialNetworkId inválido,CreateUserCommandHandler: SocialNetworkId inválido. RunId MOCK-7,2024-03-17,,1
110,150,642,1,BulkCreateSucursalesCommandHandler - incidente simulado 110,3,SMTP timeout,BulkCreateSucursalesCommandHandler: SMTP timeout. RunId MOCK-8,2026-04-06,,1
111,36,205,1,BulkCreateSucursalesCommandHandler - incidente simulado 111,3,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-9,2026-06-13,,1
112,54,52,2,EmailService.SendAsync - incidente simulado 112,1,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-10,2024-04-03,2024-04-06,0
113,48,481,2,CreateUserCommandHandler - incidente simulado 113,2,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-11,2025-10-02,2025-10-12,0
114,37,556,2,CreateUserCommandHandler - incidente simulado 114,1,DbUpdateException,CreateUserCommandHandler: DbUpdateException. RunId MOCK-12,2024-07-08,2024-07-27,0
115,59,167,2,UpdateSucursalCommandHandler - incidente simulado 115,1,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-13,2024-05-06,2024-05-19,0
116,89,754,2,EmailService.SendAsync - incidente simulado 116,2,DbUpdateException,EmailService.SendAsync: DbUpdateException. RunId MOCK-14,2025-02-26,2025-03-06,0
117,16,65,4,UpdateSucursalCommandHandler - incidente simulado 117,2,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-15,2026-06-30,,1
118,115,13,1,EmailService.SendAsync - incidente simulado 118,3,SocialNetworkId inválido,EmailService.SendAsync: SocialNetworkId inválido. RunId MOCK-16,2026-01-20,,1
119,82,462,2,BulkCreateSucursalesCommandHandler - incidente simulado 119,3,DbUpdateException,BulkCreateSucursalesCommandHandler: DbUpdateException. RunId MOCK-0,2025-08-25,2025-09-06,0
120,44,44,2,CreateUserCommandHandler - incidente simulado 120,2,Email inválido,CreateUserCommandHandler: Email inválido. RunId MOCK-1,2025-05-26,2025-06-07,0
121,119,464,2,EmailService.SendAsync - incidente simulado 121,3,CSV export format not supported,EmailService.SendAsync: CSV export format not supported. RunId MOCK-2,2026-06-20,2026-06-25,0
122,98,648,1,UpdateSucursalCommandHandler - incidente simulado 122,3,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-3,2026-02-07,,1
123,48,223,1,UpdateSucursalCommandHandler - incidente simulado 123,3,SMTP timeout,UpdateSucursalCommandHandler: SMTP timeout. RunId MOCK-4,2025-01-09,,1
124,128,402,2,CreateUserCommandHandler - incidente simulado 124,2,Localidad inexistente,CreateUserCommandHandler: Localidad inexistente. RunId MOCK-5,2025-02-04,2025-02-10,0
125,111,446,2,CompensationRequestExportQueryHandler - incidente simulado 125,1,CSV export format not supported,CompensationRequestExportQueryHandler: CSV export format not supported. RunId MOCK-6,2026-05-24,2026-05-30,0
126,75,145,2,CreateLocalidadCommandHandler - incidente simulado 126,1,CSV export format not supported,CreateLocalidadCommandHandler: CSV export format not supported. RunId MOCK-7,2024-03-02,2024-03-10,0
127,87,646,2,VerifyEmailCommandHandler - incidente simulado 127,1,SMTP timeout,VerifyEmailCommandHandler: SMTP timeout. RunId MOCK-8,2024-08-09,2024-08-19,0
128,33,379,2,CreateLocalidadCommandHandler - incidente simulado 128,2,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-9,2024-05-04,2024-05-23,0
129,60,321,2,CreateUserCommandHandler - incidente simulado 129,2,Token expirado,CreateUserCommandHandler: Token expirado. RunId MOCK-10,2024-01-19,2024-02-04,0
130,83,648,2,CreateUserCommandHandler - incidente simulado 130,2,SMTP timeout,CreateUserCommandHandler: SMTP timeout. RunId MOCK-11,2024-12-14,2025-01-02,0
131,145,482,2,CreateUserCommandHandler - incidente simulado 131,3,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-12,2025-08-30,2025-08-31,0
132,136,503,1,CreateLocalidadCommandHandler - incidente simulado 132,3,SocialNetworkId inválido,CreateLocalidadCommandHandler: SocialNetworkId inválido. RunId MOCK-13,2026-06-20,,1
133,37,373,1,CreateUserCommandHandler - incidente simulado 133,2,DbUpdateException,CreateUserCommandHandler: DbUpdateException. RunId MOCK-14,2026-01-15,,1
134,144,150,2,CreateLocalidadCommandHandler - incidente simulado 134,1,CSV export format not supported,CreateLocalidadCommandHandler: CSV export format not supported. RunId MOCK-15,2024-09-09,2024-09-18,0
135,76,752,2,CreateUserCommandHandler - incidente simulado 135,2,SocialNetworkId inválido,CreateUserCommandHandler: SocialNetworkId inválido. RunId MOCK-16,2024-11-17,2024-11-19,0
136,3,306,2,EmailService.SendAsync - incidente simulado 136,1,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-0,2026-03-29,2026-04-07,0
137,95,477,1,EmailService.SendAsync - incidente simulado 137,3,SocialNetworkId inválido,EmailService.SendAsync: SocialNetworkId inválido. RunId MOCK-1,2024-10-30,,1
138,28,281,2,CompensationRequestExportQueryHandler - incidente simulado 138,1,Token expirado,CompensationRequestExportQueryHandler: Token expirado. RunId MOCK-2,2025-10-02,2025-10-17,0
139,5,127,2,UpdateSucursalCommandHandler - incidente simulado 139,2,Token expirado,UpdateSucursalCommandHandler: Token expirado. RunId MOCK-3,2025-12-24,2025-12-26,0
140,112,662,2,EmailService.SendAsync - incidente simulado 140,2,Localidad inexistente,EmailService.SendAsync: Localidad inexistente. RunId MOCK-4,2025-05-03,2025-05-14,0
141,145,775,2,VerifyEmailCommandHandler - incidente simulado 141,3,Token expirado,VerifyEmailCommandHandler: Token expirado. RunId MOCK-5,2024-11-30,2024-12-19,0
142,18,144,2,CompensationRequestExportQueryHandler - incidente simulado 142,3,SocialNetworkId inválido,CompensationRequestExportQueryHandler: SocialNetworkId inválido. RunId MOCK-6,2024-02-27,2024-03-03,0
143,87,84,4,CreateLocalidadCommandHandler - incidente simulado 143,1,Token expirado,CreateLocalidadCommandHandler: Token expirado. RunId MOCK-7,2024-06-16,,1
144,102,712,1,CreateSucursalCommandHandler - incidente simulado 144,2,Validation failed,CreateSucursalCommandHandler: Validation failed. RunId MOCK-8,2026-02-07,,1
145,67,233,1,UpdateSucursalCommandHandler - incidente simulado 145,1,SocialNetworkId inválido,UpdateSucursalCommandHandler: SocialNetworkId inválido. RunId MOCK-9,2026-04-22,,1
146,11,44,2,CreateUserCommandHandler - incidente simulado 146,1,CSV export format not supported,CreateUserCommandHandler: CSV export format not supported. RunId MOCK-10,2025-10-22,2025-10-30,0
147,5,523,1,EmailService.SendAsync - incidente simulado 147,2,Validation failed,EmailService.SendAsync: Validation failed. RunId MOCK-11,2026-06-10,,1
148,52,604,2,BulkCreateSucursalesCommandHandler - incidente simulado 148,3,Localidad inexistente,BulkCreateSucursalesCommandHandler: Localidad inexistente. RunId MOCK-12,2024-01-25,2024-01-27,0
149,131,169,2,BulkCreateSucursalesCommandHandler - incidente simulado 149,2,Token expirado,BulkCreateSucursalesCommandHandler: Token expirado. RunId MOCK-13,2025-08-19,2025-09-01,0
150,143,384,1,VerifyEmailCommandHandler - incidente simulado 150,3,DbUpdateException,VerifyEmailCommandHandler: DbUpdateException. RunId MOCK-14,2025-07-03,,1
151,84,267,1,CreateLocalidadCommandHandler - incidente simulado 151,3,Email inválido,CreateLocalidadCommandHandler: Email inválido. RunId MOCK-15,2026-05-04,,1
152,48,116,2,EmailService.SendAsync - incidente simulado 152,1,Email inválido,EmailService.SendAsync: Email inválido. RunId MOCK-16,2025-10-28,2025-10-30,0
153,55,608,2,CreateUserCommandHandler - incidente simulado 153,3,DbUpdateException,CreateUserCommandHandler: DbUpdateException. RunId MOCK-0,2024-04-19,2024-04-29,0
154,131,25,2,VerifyEmailCommandHandler - incidente simulado 154,1,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-1,2024-02-25,2024-03-06,0
155,84,469,1,CompensationRequestExportQueryHandler - incidente simulado 155,2,Validation failed,CompensationRequestExportQueryHandler: Validation failed. RunId MOCK-2,2026-04-29,,1
156,20,632,1,VerifyEmailCommandHandler - incidente simulado 156,2,Email inválido,VerifyEmailCommandHandler: Email inválido. RunId MOCK-3,2026-02-10,,1
157,1,311,1,CreateSucursalCommandHandler - incidente simulado 157,1,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-4,2026-05-23,,1
158,56,662,2,CreateSucursalCommandHandler - incidente simulado 158,1,Token expirado,CreateSucursalCommandHandler: Token expirado. RunId MOCK-5,2026-01-16,2026-01-23,0
159,9,123,1,CreateSucursalCommandHandler - incidente simulado 159,2,DbUpdateException,CreateSucursalCommandHandler: DbUpdateException. RunId MOCK-6,2026-06-16,,1
